iter	MultiClass
0	1.624330869
1	1.109501939
2	0.797823007
3	0.6707429182
4	0.5771818429
5	0.5259651524
6	0.4369837456
7	0.4009668994
8	0.3635746352
9	0.334529948
10	0.3048531302
11	0.2829602833
12	0.2649961482
13	0.2429078188
14	0.2285502678
15	0.215452428
16	0.2032490572
17	0.1972165808
18	0.1863628923
19	0.1808623281
20	0.1735945985
21	0.1693337202
22	0.1657900416
23	0.1604285081
24	0.158609845
25	0.1557598986
26	0.1526348634
27	0.1478232729
28	0.1437912268
29	0.1426602597
30	0.1407170374
31	0.1386311992
32	0.1348794438
33	0.132881986
34	0.1314145631
35	0.1282772336
36	0.1270007302
37	0.1254845475
38	0.1229835598
39	0.1213817475
40	0.1198218504
41	0.1191252107
42	0.1183658091
43	0.1175324073
44	0.1157471068
45	0.1146034022
46	0.1138095819
47	0.1133101588
48	0.1129298061
49	0.1125972094
50	0.1113157517
51	0.1105843153
52	0.1099196824
53	0.109563123
54	0.1092589803
55	0.1083056215
56	0.1070423575
57	0.1057906968
58	0.1053662126
59	0.1050467054
60	0.1047523473
61	0.1042349587
62	0.103795501
63	0.1034900677
64	0.1021519365
65	0.1017555674
66	0.1012703811
67	0.1009807099
68	0.1003486836
69	0.1001069704
70	0.09978533163
71	0.09945607246
72	0.0992603813
73	0.0989797581
74	0.09886982687
75	0.09780909216
76	0.09757052756
77	0.09745290427
78	0.09694909407
79	0.09675496088
80	0.09664673755
81	0.09650569259
