iter	Passed	Remaining
0	169	169147
1	331	165537
2	497	165250
3	664	165489
4	830	165190
5	988	163690
6	1165	165313
7	1322	163979
8	1488	163946
9	1651	163507
10	1820	163698
11	1986	163589
12	2131	161828
13	2298	161887
14	2461	161651
15	2621	161241
16	2789	161317
17	2937	160269
18	3113	160729
19	3268	160159
20	3437	160246
21	3594	159788
22	3751	159349
23	3905	158836
24	4050	157983
25	4204	157496
26	4364	157275
27	4557	158217
28	4741	158755
29	4895	158272
30	5040	157555
31	5200	157307
32	5364	157191
33	5532	157197
34	5676	156506
35	5853	156733
36	6003	156244
37	6167	156123
38	6344	156338
39	6499	155983
40	6667	155952
41	6824	155663
42	6959	154883
43	7112	154524
44	7271	154327
45	7422	153940
46	7581	153730
47	7729	153296
48	7877	152878
49	8020	152393
50	8187	152358
51	8337	151990
52	8497	151841
53	8634	151271
54	8772	150735
55	8941	150731
56	9092	150431
57	9265	150491
58	9418	150210
59	9567	149883
60	9708	149441
61	9856	149112
62	10007	148844
63	10158	148570
64	10321	148471
65	10470	148177
66	10620	147900
67	10761	147494
68	10927	147441
69	11098	147446
70	11269	147455
71	11442	147481
72	11585	147117
73	11738	146883
74	11881	146540
75	12040	146391
76	12193	146164
77	12340	145875
78	12516	145925
79	12669	145700
80	12816	145414
81	12969	145192
